COMMUNE;CODE INSEE;TYPE INFRASTRUCTURE;NUMERO RD;ADRESSE COMPTEUR;LIMITATION DE VITESSE;TYPE DE COMPTAGE;TYPE COMPTEUR;MOIS DU COMPTAGE;ANNEE DU COMPTAGE;PERIODICITE;SENS 1_ORIGINE;SENS 1_DESTINATION;S2_ORIGINE;S2_DESTINATION;TMJA_SENS 1;TMJA_SENS 2;TMJO_SENS 1;TMJO_SENS 2;TRAFIC_HPM_SENS 1;HORAIRE HPM_SENS 1;TRAFIC HPM_SENS 2;HORAIRE HPM_SENS 2;TRAFIC HPS_SENS 1;HORAIRE HPS_SENS 1;T_HPS_SENS 2;HPS_SENS 2;% POIDS LOURDS SENS 1;% POIDS LOURDS SENS 2;TMJA;LONGUEUR;geo_shape;geo_point_2d
Rueil-Malmaison;92063;Réseau départemental non classé à grande circulation;RD39;20 boulevard de l'Hôpital Stell;50 km/h;Comptage automatique en section;Tubes;Juin;2018;Triennale;Paris;Province;Province;Paris;8580.0;8335.0;9683.0;9315.0;862.0;08h00-09h00;621.0;08h00-09h00;690.0;17h00-18h00;754.0;18h00-19h00;;;16915.0;617.4479904762271;"{""coordinates"": [[2.1857903685993736, 48.876309574389715], [2.185887299616402, 48.8763418074185], [2.1859551576639857, 48.87638392900589], [2.186238997450167, 48.87661297480356], [2.1864478419733806, 48.87677268069319], [2.1866399351981984, 48.87695745403214], [2.1866473856103346, 48.8770042709525], [2.186656001698784, 48.87706368607427], [2.186701725833727, 48.877278942433186], [2.186786920926728, 48.87767343699314], [2.1868071615683062, 48.87777430151036], [2.1868133748796397, 48.8778130164456], [2.1868223149322907, 48.877851748847284], [2.1868336859246518, 48.87790938471648], [2.1868366394260024, 48.87798225181413], [2.186836444431404, 48.87808207888234], [2.186837596908302, 48.878095577233836], [2.1868083494479436, 48.87822218664469], [2.186734968598732, 48.87838087329289], [2.186602581321681, 48.8785634414571], [2.186515044655868, 48.87866807068586], [2.1864622530035347, 48.878730666236336], [2.1863177486249694, 48.87890325920582], [2.1855741841448055, 48.8798029493129], [2.185547758575062, 48.87983604536281], [2.185226829942806, 48.88021608554282], [2.1851517683155013, 48.88030730825644], [2.1850934158542348, 48.88036534460094], [2.184407580494471, 48.8812424388024]], ""type"": ""LineString""}";48.87875539884753, 2.1859629298263434
Marnes-la-Coquette, Vaucresson, Versailles;78646, 92047, 92076;Réseau départemental non classé à grande circulation;RD182;boulevard de Jardy;70 km/h;Comptage automatique en section;Tubes;Avril;2022;Triennale;Versailles;Vaucresson;Vaucresson;Versailles;12948.0;13225.0;12994.0;13445.0;618.0;08h00-09h00;968.0;08h00-09h00;846.0;17h00-18h00;1010.0;17h00-18h00;3.5;4.43;26173.0;1547.7529111803144;"{""coordinates"": [[2.1504297600906166, 48.819035195455214], [2.150472675360761, 48.81916603204983], [2.1505516248917615, 48.81938164404155], [2.150578446404098, 48.81944788663833], [2.1506166805724964, 48.819534888910574], [2.150700181038994, 48.819715481004174], [2.1507818298183827, 48.81986858124555], [2.1508831420726007, 48.82007278162579], [2.1510066743119145, 48.820294814805976], [2.151144948118401, 48.820534862020786], [2.151231790630938, 48.8207025653687], [2.151314954711665, 48.82085878545951], [2.1513413735591085, 48.82092132492003], [2.1514089370073255, 48.82112106843477], [2.151462637989907, 48.82138949071217], [2.151473585874292, 48.82153027793542], [2.151476036861542, 48.82164094498451], [2.151461476046642, 48.82184119656314], [2.1514516927062433, 48.821908227275316], [2.1514234420729332, 48.82204436776808], [2.151373982891626, 48.82223412882838], [2.1512370894259454, 48.82257196766303], [2.151131633285376, 48.82283020333045], [2.151044865001959, 48.82308084422067], [2.151004767826661, 48.82334182337904], [2.1509970950785795, 48.823539507710336], [2.151004874383555, 48.82368164037189], [2.1510587737940847, 48.82395687775391], [2.151238896127263, 48.82478895014277], [2.151333531392255, 48.825253855985984], [2.1513681481243077, 48.82544423758251], [2.151397508028432, 48.82562589526201], [2.151437966849862, 48.82593248281086], [2.151460992421133, 48.82624132856317], [2.151493713757534, 48.82680274865137], [2.1515183579681314, 48.82760365120856], [2.1515607770841543, 48.82855966484252], [2.1515908906802497, 48.82911386702503], [2.1516061451598403, 48.8293624055123], [2.1516292645236654, 48.82952962096085], [2.1516564153400775, 48.82963435450621], [2.1516916231151835, 48.829768820886], [2.1517386198264408, 48.82988814540501], [2.1517940254979604, 48.830021809232875], [2.1518684432635578, 48.83016782834154], [2.151939963651497, 48.8302991368227], [2.1523341239260896, 48.830995802121905], [2.152696897251521, 48.83164753839941], [2.1527676512256226, 48.83180235615231], [2.1528394313853574, 48.8319421864359], [2.1530431947277893, 48.83229776524668], [2.1530742540954986, 48.83237937413236], [2.153104045278247, 48.83247928277661], [2.153122864742012, 48.83256355262901], [2.153156352780141, 48.832629474804044]], ""type"": ""LineString""}";48.825858264412425, 2.1515385667950944
Châtillon, Malakoff, Montrouge;92020, 92046, 92049;Réseau départemental non classé à grande circulation;RD906;41 avenue de Paris;50 km/h;Comptage automatique en section;Tubes;Mars;2022;Triennale;Châtillon;Clamart;Châtillon;Paris;5484.0;6565.0;5448.0;6527.0;442.0;08h00-09h00;299.0;08h00-09h00;295.0;18h00-19h00;442.0;18h00-19h00;3.39;2.53;12049.0;1270.2395398498;"{""coordinates"": [[2.300757126709615, 48.812011236997975], [2.300459853480887, 48.81173698166604], [2.300220049722274, 48.811529128472635], [2.2995687385299965, 48.81096458190693], [2.299488175820018, 48.81087956721017], [2.299182890985809, 48.8105944693262], [2.2988938641529573, 48.81031576156927], [2.298600659384871, 48.8100442231948], [2.2982564549552054, 48.809717522714436], [2.298128676043038, 48.80959985052175], [2.2978867644841037, 48.80946352116718], [2.297642264343767, 48.80931728271295], [2.2974517702633146, 48.80920553806262], [2.2972938213427567, 48.80910387764332], [2.2967452351605746, 48.80878766184297], [2.296457426591368, 48.808622278619], [2.2960574706046675, 48.808392377014194], [2.295842631513486, 48.808268794475936], [2.2950305291004724, 48.80780531603393], [2.2943873324348476, 48.80743906433464], [2.2940981272793968, 48.80727726477708], [2.293975152217623, 48.8072081845393], [2.2935683863100302, 48.80698003274576], [2.29306721921762, 48.80668476637766], [2.2926847006572326, 48.80647654158188], [2.2922238258058583, 48.806222882004484], [2.291719718183287, 48.80594467994604], [2.291564366966114, 48.80585381960569], [2.291190224681287, 48.80563124918486], [2.2907878360223504, 48.80538332700138], [2.2904150507240644, 48.80516166171937], [2.2902421634632475, 48.80505900341441], [2.290147690664679, 48.80499728257127], [2.2897386158756308, 48.80474122214391], [2.2894996321701147, 48.80459320050739], [2.2891254702101334, 48.80437332112664], [2.288818968173933, 48.804184423413574], [2.2885934444708913, 48.8040481710131], [2.288540244246271, 48.80400750431805]], ""type"": ""LineString""}";48.80779620152172, 2.2948077871227643
Rueil-Malmaison;92063;Réseau départemental non classé à grande circulation;RD39;19 boulevard Solferino;50 km/h;Comptage automatique en section;Tubes;Juin;2018;Triennale;Paris;Province;Province;Paris;6392.0;5928.0;7054.0;6732.0;556.0;08h00-09h00;435.0;08h00-09h00;489.0;17h00-18h00;594.0;18h00-19h00;;;12320.0;988.7207241894508;"{""coordinates"": [[2.186514491375926, 48.8689874679452], [2.1864147123888014, 48.86902364480155], [2.186298335420749, 48.869082310226425], [2.1861617741521684, 48.86916224896845], [2.1859620326407256, 48.869296634150636], [2.18582566125448, 48.86938654222094], [2.1856054903577555, 48.86951724960576], [2.1852830818493025, 48.86973449925709], [2.185221078982765, 48.8697763467256], [2.185017206657029, 48.86991076219923], [2.184902840308006, 48.86998822696249], [2.184698769482528, 48.87013523135332], [2.1846644221703455, 48.87015208551079], [2.184552570911204, 48.87024305797903], [2.184451595169254, 48.87033590341622], [2.1842449477492596, 48.870560233625476], [2.1841960662798097, 48.87063454741431], [2.1836574240699225, 48.871338668623544], [2.1834265519400597, 48.871629385419915], [2.18321086946152, 48.87190761329874], [2.1829980242593945, 48.87217866613548], [2.182975761247806, 48.87220729352315], [2.182864432497661, 48.87235132964903], [2.1827811431176203, 48.87244609253051], [2.182715589848344, 48.872540077469445], [2.182614149374569, 48.87274893487241], [2.182571107481625, 48.872885342702276], [2.1825610849043113, 48.87291585295445], [2.1825332488696154, 48.87303887405514], [2.1825383862330314, 48.87314593300963], [2.182604056478096, 48.87321832935628], [2.1826388791606837, 48.87325813902496], [2.1827465463348705, 48.87352148641849], [2.182812366254003, 48.87367122855444], [2.1828404025483406, 48.87370919306861], [2.182909923798336, 48.87379690459301], [2.1830844541904515, 48.87396987238598], [2.183552114730174, 48.87449109155451], [2.183687509042971, 48.87463860977796], [2.1838029050148453, 48.87475721226236], [2.1838971227455555, 48.87483519918023], [2.184028922962494, 48.87495121521382], [2.184201507750553, 48.875074703297315], [2.1843105126367512, 48.875166280406965], [2.1845527808015324, 48.87536758775306], [2.184681982313149, 48.875475491365115], [2.185239330374233, 48.87593076088308], [2.185450754653833, 48.8760994794803], [2.1856804042137608, 48.87625337138018], [2.1857903685993736, 48.876309574389715]], ""type"": ""LineString""}";48.87258508700251, 2.184161859591885
Marnes-la-Coquette, Vaucresson;92047, 92076;Réseau départemental non classé à grande circulation;RD182;16 boulevard de Jardy;50 km/h;Comptage automatique en section;Tubes;Mars;2023;Triennale;Vaucresson;RD 907;Vaucresson;RD 182a;5736.0;6067.0;5801.0;6301.0;417.0;09h00-10h00;340.0;09h00-10h00;404.0;18h00-19h00;529.0;18h00-19h00;2.3;2.4;11803.0;595.4092330042681;"{""coordinates"": [[2.153156352780141, 48.832629474804044], [2.153292964109869, 48.83284217594979], [2.1533327928231643, 48.83290631456619], [2.153457259715125, 48.83312754641237], [2.1536256007775103, 48.8334156435641], [2.1537178260172913, 48.83352512293587], [2.153915072559691, 48.8338790791028], [2.154100295727261, 48.83421856034035], [2.154139951227373, 48.83429349055521], [2.154311830416575, 48.834615788178475], [2.154333042725262, 48.83465191394496], [2.1543913042728335, 48.83475575580678], [2.1546243567577656, 48.83508657986934], [2.154661624638983, 48.83514080623489], [2.1547417404611346, 48.83524120483617], [2.154816262969085, 48.83535055763086], [2.1548562266660043, 48.83540660245526], [2.154898812784452, 48.83546896113261], [2.1549107815271205, 48.83548703352152], [2.154934790787486, 48.83551868114145], [2.1549614389335847, 48.83555574428633], [2.1549694080143498, 48.83556839203787], [2.1550014029564815, 48.83561178905881], [2.155020065568169, 48.835637103675396], [2.1550253985183856, 48.835644336813544], [2.1550520743979624, 48.83567960142695], [2.1551308007039642, 48.83578178824126], [2.1552885231883203, 48.836053618098184], [2.1553004632579746, 48.836073488945026], [2.1554025818473455, 48.83632963730236], [2.155447281852031, 48.836429785144546], [2.155540376283813, 48.836654389616015], [2.1555639798910455, 48.83671121788541], [2.1557084126144863, 48.83704681008635], [2.1558686996679284, 48.83741309296426], [2.1559421563043233, 48.83750444911437], [2.1560347660557984, 48.83762145061651]], ""type"": ""LineString""}";48.835108321123734, 2.154633739072772
Rueil-Malmaison, Saint-Cloud, Suresnes;92063, 92064, 92073;Réseau départemental non classé à grande circulation;RD39;25 avenue du 18 Juin 1940;50 km/h;Comptage automatique en section;Tubes;Mars;2022;Triennale;Paris;Province;Province;Paris;5600.0;5533.0;5751.0;5663.0;442.0;08h00-09h00;505.0;08h00-09h00;424.0;17h00-18h00;455.0;18h00-19h00;2.69;3.01;11133.0;2385.2578373202127;"{""coordinates"": [[2.2136493258695413, 48.859486504797815], [2.2136023559496616, 48.85956599532902], [2.2135423725336723, 48.85974727211722], [2.213408143967269, 48.860061166997944], [2.2131886457174925, 48.86051570113089], [2.213018339336524, 48.86087162798097], [2.2129731360191007, 48.86097655575298], [2.2128624177724423, 48.86121704430749], [2.2127794010665873, 48.861382091792905], [2.2126633357420786, 48.861577013277916], [2.2125279086675924, 48.86168054728787], [2.2124038325238335, 48.86172583715182], [2.211969542410995, 48.861902589658385], [2.211271019035498, 48.86221366349547], [2.211069151068671, 48.862312161756776], [2.210417571157724, 48.86267300559756], [2.2102437947069773, 48.86275764921583], [2.2099637200835005, 48.86290801542207], [2.2098488878099167, 48.86298575148954], [2.20977552575251, 48.863063772271936], [2.209702221160539, 48.8631382229986], [2.2095486100064123, 48.86325545160062], [2.209337820057843, 48.86340245296261], [2.2089170273790626, 48.86373423429812], [2.208408243578319, 48.86411489711551], [2.2082556647924263, 48.86419842811914], [2.2081883030169136, 48.8642357551046], [2.207820525612274, 48.86439700443435], [2.20752974645989, 48.864514694289824], [2.2073680745600996, 48.86456848487248], [2.207192786540779, 48.864621285662565], [2.206942394736448, 48.86468258181059], [2.2064896970668526, 48.86478030892318], [2.206040013457247, 48.864859168788094], [2.205511011057965, 48.86495458751385], [2.205236300110923, 48.86500132880007], [2.2050366929504923, 48.865039575098066], [2.204574394180977, 48.86514082936834], [2.2039984248082494, 48.86527640057509], [2.2037110724562154, 48.86534733764361], [2.2036043013820517, 48.86537630590846], [2.2035247490716494, 48.86540815333395], [2.203234876901534, 48.86555461780374], [2.203021830106321, 48.86566921743378], [2.202675491151378, 48.865853077237645], [2.2025105613140252, 48.86594101545187], [2.202259041918004, 48.86607514255617], [2.2021078515715407, 48.866155976184366], [2.2018992736876997, 48.86624542034254], [2.2017002923434514, 48.86633133152013], [2.2014217003865495, 48.866452685328014], [2.2013668192046505, 48.86647570183544], [2.2009735480819232, 48.86660798154647], [2.20059408390223, 48.86672865894238], [2.200398460434902, 48.86677321946318], [2.200064501357589, 48.86686002446045], [2.1997415003708065, 48.866943304620726], [2.199262388534918, 48.86707230594255], [2.198428877817741, 48.86728706929343], [2.1982344460067695, 48.867342426627395], [2.1978907718382588, 48.86743995253296], [2.197448966364148, 48.86753592066987], [2.197055353946091, 48.86760073187898], [2.1965048026329224, 48.86767618066989], [2.1964282892675, 48.86768735946837], [2.196355920135557, 48.867694967072524], [2.195609023442507, 48.867772690588], [2.1953304359777643, 48.86780409417278], [2.194613747175506, 48.867867625732934], [2.1941331955156342, 48.867912057087715], [2.193929786531865, 48.86793047287045], [2.193074877414438, 48.868028138871665], [2.1925504801065, 48.8680866574147], [2.192099870401588, 48.86813398125425], [2.191442649479181, 48.86823027096649], [2.1911133136254834, 48.868281107815434], [2.190059775465315, 48.86843946492597], [2.189603485895661, 48.86850113041576], [2.1887191635008625, 48.86864803017024], [2.1877664127873744, 48.86881154758025], [2.1872060829706648, 48.868900377761705], [2.18702184729513, 48.868929860075674], [2.186749440621921, 48.86895700483414], [2.186514491375926, 48.8689874679452]], ""type"": ""LineString""}";48.865789248912066, 2.20094114267852
Vaucresson;92076;Réseau départemental non classé à grande circulation;RD182A;route Napoléon III;50 km/h;Comptage automatique en section;Tubes;Novembre;2021;Annuelle;Vaucresson;Province;Vaucresson;A13;7507.0;7868.0;7785.0;8317.0;378.0;08h00-09h00;520.0;07h00-08h00;608.0;18h00-19h00;593.0;17h00-18h00;2.42;3.17;15375.0;456.17203820024116;"{""coordinates"": [[2.153156352780141, 48.832629474804044], [2.1530119419984106, 48.83267327379297], [2.152858051895204, 48.8326935565296], [2.152626250275854, 48.832707042282806], [2.151779749553415, 48.83273701725472], [2.151052667034781, 48.83279676047638], [2.1488840375770835, 48.83286574533943], [2.1486783330197197, 48.832865180381], [2.1480485763684904, 48.832886778318624], [2.1478931409832254, 48.832894665122225], [2.1476246282320894, 48.832902645288826], [2.1473846031309867, 48.8329180228317], [2.147282262659302, 48.832928085916514], [2.146977768053061, 48.83295987534134]], ""type"": ""LineString""}";48.832816010367935, 2.1500702891789993
Issy-les-Moulineaux;92040;Réseau départemental non classé à grande circulation;RD50;22 boulevard Gambetta;30 km/h;Comptage automatique en section;Tubes;Novembre;2021;Annuelle;Département 94;Issy-les-Moulineaux;Issy-les-Moulineaux;Département 94;6235.0;4982.0;6699.0;5542.0;600.0;08h00-09h00;292.0;08h00-09h00;421.0;18h00-19h00;508.0;18h00-19h00;6.81;7.05;11217.0;405.69027393251537;"{""coordinates"": [[2.2791857684575914, 48.826948778212135], [2.2790716995468565, 48.82702183965536], [2.2787344431718926, 48.827178097720065], [2.2785430710865935, 48.82722640942767], [2.2784174002077973, 48.82725173319102], [2.27813071976084, 48.82729677048195], [2.2778372908497304, 48.82733727066094], [2.277719892288068, 48.827355448187554], [2.277227276261815, 48.82741812681033], [2.277062129413437, 48.82744141214306], [2.276224098615957, 48.8275604576817], [2.275759770938734, 48.827645786276705], [2.2754335862467086, 48.82769057881709], [2.274684293900023, 48.827794861953876], [2.2740222728476303, 48.827892474974405], [2.2739081327203343, 48.827907910015604]], ""type"": ""LineString""}";48.827508907979244, 2.2765719456375977
Issy-les-Moulineaux, Paris;75015, 92040;Réseau départemental non classé à grande circulation;RD50;20 boulevard des Frères Voisin;30 km/h;Comptage automatique en section;Tubes;Novembre;2021;Annuelle;Département 94;Issy-les-Moulineaux;Issy-les-Moulineaux;Département 94;6700.0;5742.0;7280.0;6042.0;434.0;08h00-09h00;384.0;08h00-09h00;435.0;18h00-19h00;419.0;17h00-18h00;7.23;7.0;12442.0;468.04759046619245;"{""coordinates"": [[2.2739081327203343, 48.827907910015604], [2.273770705464807, 48.827927388794706], [2.273675500168342, 48.82793154673212], [2.2731738691328047, 48.8279284954875], [2.2728297898247027, 48.82792156145841], [2.2701849342216107, 48.827868618636835], [2.2678884019194867, 48.82782427450358], [2.267741930873216, 48.827816417716015], [2.2676771566478964, 48.82780975832834], [2.267600740087772, 48.827798266317615], [2.267542718445084, 48.82779194844951]], ""type"": ""LineString""}";48.82787834264249, 2.270725276212785
Montrouge;92049;Réseau départemental non classé à grande circulation;RD50;29 rue Barbès;50 km/h;Comptage automatique en section;Tubes;Mars;2022;Annuelle;Département 94;Issy-les-Moulineaux;Issy-les-Moulineaux;Département 94;11002.0;4321.0;11470.0;4688.0;837.0;08h00-09h00;334.0;08h00-09h00;766.0;17h00-18h00;433.0;18h00-19h00;5.7;6.16;15323.0;459.9852308367363;"{""coordinates"": [[2.33177257953876, 48.81702551662888], [2.3316416725808686, 48.81703827622304], [2.3314330059230155, 48.81706139258041], [2.330790638650848, 48.817132448174796], [2.32999438576511, 48.81720263844123], [2.328791215438361, 48.81724985310633], [2.3279040643511917, 48.81729253688147], [2.3267559713722097, 48.817398501151594], [2.3256664766903574, 48.81750118690066], [2.3255562302887522, 48.81750897052268]], ""type"": ""LineString""}";48.81726790626713, 2.3286646670535407
