Identifiant arc,Date et heure de comptage,Débit horaire,Taux d'occupation,Etat trafic,Identifiant noeud amont,Identifiant noeud aval,geo_point_2d,heure,jour_semaine,is_weekend,lat,lon
5354,2025-04-03 22:00:00+00:00,3000.0,7.7,Fluide,2830,2831,"48.87408796677477, 2.41137811855984",22,3,0,48.87408796677477,2.41137811855984
5564,2025-05-09 09:00:00+00:00,429.0,4.82,Inconnu,2918,2919,"48.8401459357074, 2.303221025755864",9,4,0,48.8401459357074,2.303221025755864
5819,2025-12-02 01:00:00+00:00,129.0,1.01667,Fluide,2925,3035,"48.847108965373224, 2.327085803338533",1,1,0,48.847108965373224,2.327085803338533
5877,2024-12-05 04:00:00+00:00,92.0,4.82,Inconnu,3050,3052,"48.83873806344009, 2.357770481234704",4,3,0,48.83873806344009,2.357770481234704
4607,2025-01-06 08:00:00+00:00,891.0,19.39889,Pré-saturé,2460,3062,"48.84789311575523, 2.255137321264528",8,0,0,48.84789311575523,2.255137321264528
5521,2025-03-10 23:00:00+00:00,67.0,0.90556,Fluide,2898,2546,"48.8348282759246, 2.3432371445674205",23,0,0,48.8348282759246,2.3432371445674205
5354,2025-04-03 15:00:00+00:00,3000.0,12.5,Fluide,2830,2831,"48.87408796677477, 2.41137811855984",15,3,0,48.87408796677477,2.41137811855984
5565,2025-05-09 11:00:00+00:00,583.0,9.02278,Fluide,2919,2920,"48.84094492801836, 2.3060707136945666",11,4,0,48.84094492801836,2.3060707136945666
6304,2025-09-02 08:00:00+00:00,508.0,4.82,Inconnu,3273,733,"48.860765701451896, 2.37527280301053",8,1,0,48.860765701451896,2.37527280301053
4711,2025-11-04 20:00:00+00:00,394.0,4.82,Inconnu,2512,2511,"48.84820791529223, 2.3938365365336054",20,1,0,48.84820791529223,2.3938365365336054
5819,2025-12-02 00:00:00+00:00,255.0,2.28611,Fluide,2925,3035,"48.847108965373224, 2.327085803338533",0,1,0,48.847108965373224,2.327085803338533
247,2026-01-02 02:00:00+00:00,0.0,4.82,Inconnu,148,146,"48.870211507901104, 2.3231986598637704",2,4,0,48.870211507901104,2.3231986598637704
